timestamp,http_requests_per_sec,http_p99_latency_ms,http_5xx_rate,cart_upstream_error_rate,product_upstream_error_rate,active_connections
2026-06-01T00:00:00Z,57.23,10.0,1.42,0.1,0.11,338
2026-06-01T00:00:30Z,60.44,27.8,0.0,0.48,0.05,352
2026-06-01T00:01:00Z,63.63,37.9,0.0,0.38,0.26,361
2026-06-01T00:01:30Z,76.64,39.9,0.08,0.64,0.16,350
2026-06-01T00:02:00Z,56.64,35.1,0.25,0.64,0.13,376
2026-06-01T00:02:30Z,60.94,56.6,0.24,0.22,0.08,373
2026-06-01T00:03:00Z,62.03,15.5,0.57,0.06,0.06,339
2026-06-01T00:03:30Z,58.96,10.0,0.0,0.72,0.04,367
2026-06-01T00:04:00Z,53.98,17.1,0.0,0.52,0.22,365
2026-06-01T00:04:30Z,64.56,41.1,0.21,0.34,0.07,347
2026-06-01T00:05:00Z,67.88,26.1,0.0,0.49,0.27,349
2026-06-01T00:05:30Z,57.62,44.1,0.0,0.01,0.12,360
2026-06-01T00:06:00Z,56.19,25.8,1.37,0.2,0.19,349
2026-06-01T00:06:30Z,60.23,14.8,0.08,0.4,0.03,363
2026-06-01T00:07:00Z,64.42,10.1,0.0,0.77,0.22,340
2026-06-01T00:07:30Z,69.69,34.6,0.0,0.29,0.11,332
2026-06-01T00:08:00Z,63.32,21.2,0.0,0.5,0.25,353
2026-06-01T00:08:30Z,52.54,11.0,0.0,0.06,0.11,364
2026-06-01T00:09:00Z,72.35,27.6,0.0,0.21,0.28,370
2026-06-01T00:09:30Z,61.14,20.5,0.39,0.43,0.03,358
2026-06-01T00:10:00Z,53.34,22.2,0.0,0.7,0.1,372
2026-06-01T00:10:30Z,60.31,14.0,0.63,0.02,0.09,337
2026-06-01T00:11:00Z,63.74,10.0,0.0,0.52,0.2,329
2026-06-01T00:11:30Z,62.1,39.1,0.0,0.31,0.0,361
2026-06-01T00:12:00Z,55.77,29.6,0.0,0.17,0.11,369
2026-06-01T00:12:30Z,60.64,22.7,0.27,0.2,0.29,333
2026-06-01T00:13:00Z,69.43,27.7,0.0,0.43,0.04,357
2026-06-01T00:13:30Z,54.32,30.5,1.06,0.56,0.08,369
2026-06-01T00:14:00Z,65.45,10.0,1.1,0.14,0.19,343
2026-06-01T00:14:30Z,51.43,12.9,1.5,0.29,0.27,345
2026-06-01T00:15:00Z,64.27,12.8,0.94,0.23,0.11,379
2026-06-01T00:15:30Z,71.01,12.6,0.0,0.03,0.16,334
2026-06-01T00:16:00Z,71.31,10.0,0.0,0.28,0.26,367
2026-06-01T00:16:30Z,66.35,28.6,1.17,0.58,0.24,329
2026-06-01T00:17:00Z,64.32,10.0,0.0,0.2,0.05,359
2026-06-01T00:17:30Z,62.04,14.8,0.7,0.41,0.27,337
2026-06-01T00:18:00Z,55.36,10.0,0.79,0.53,0.14,352
2026-06-01T00:18:30Z,64.67,55.0,0.46,0.5,0.28,353
2026-06-01T00:19:00Z,66.17,24.6,0.0,0.33,0.17,328
2026-06-01T00:19:30Z,63.45,12.0,0.0,0.28,0.25,362
2026-06-01T00:20:00Z,57.35,22.0,1.1,0.13,0.07,353
2026-06-01T00:20:30Z,62.33,10.0,1.24,0.22,0.17,362
2026-06-01T00:21:00Z,69.96,32.5,0.0,0.03,0.05,385
2026-06-01T00:21:30Z,57.99,24.4,1.26,0.15,0.17,360
2026-06-01T00:22:00Z,58.3,25.0,0.85,0.47,0.02,342
2026-06-01T00:22:30Z,53.47,10.0,0.0,0.24,0.2,353
2026-06-01T00:23:00Z,61.56,10.0,0.0,0.58,0.23,361
2026-06-01T00:23:30Z,59.19,52.7,0.0,0.46,0.17,367
2026-06-01T00:24:00Z,52.55,11.1,0.0,0.41,0.15,351
2026-06-01T00:24:30Z,68.96,10.0,0.6,0.48,0.18,313
2026-06-01T00:25:00Z,41.57,23.2,0.91,0.1,0.28,366
2026-06-01T00:25:30Z,65.66,11.8,0.16,0.11,0.0,332
2026-06-01T00:26:00Z,65.16,14.1,0.0,0.03,0.13,345
2026-06-01T00:26:30Z,64.4,23.7,0.56,0.47,0.04,366
2026-06-01T00:27:00Z,56.41,25.5,1.01,0.21,0.26,333
2026-06-01T00:27:30Z,58.61,10.0,0.0,0.12,0.11,363
2026-06-01T00:28:00Z,63.82,40.3,0.0,0.47,0.06,315
2026-06-01T00:28:30Z,52.68,30.2,0.0,0.18,0.3,345
2026-06-01T00:29:00Z,67.51,26.8,0.81,0.3,0.01,344
