timestamp,http_requests_per_sec,http_p99_latency_ms,http_5xx_rate,upstream_timeout_rate
2026-06-01T00:00:00Z,20.22,43.5,0.15,0.6
2026-06-01T00:00:30Z,25.19,38.7,0.2,0.13
2026-06-01T00:01:00Z,25.77,50.5,0.25,0.96
2026-06-01T00:01:30Z,26.83,28.3,0.58,0.89
2026-06-01T00:02:00Z,20.5,66.3,0.32,0.43
2026-06-01T00:02:30Z,22.95,40.4,0.32,0.47
2026-06-01T00:03:00Z,18.94,23.9,0.74,0.45
2026-06-01T00:03:30Z,23.05,28.2,0.21,0.02
2026-06-01T00:04:00Z,25.51,46.9,0.43,0.51
2026-06-01T00:04:30Z,30.88,30.7,0.29,0.98
2026-06-01T00:05:00Z,22.26,63.9,0.08,0.88
2026-06-01T00:05:30Z,21.31,26.3,0.13,0.14
2026-06-01T00:06:00Z,21.87,46.4,0.36,0.4
2026-06-01T00:06:30Z,21.72,20.0,0.07,0.03
2026-06-01T00:07:00Z,22.67,66.8,0.54,0.12
2026-06-01T00:07:30Z,18.63,63.7,0.34,0.68
2026-06-01T00:08:00Z,13.99,34.3,0.35,0.52
2026-06-01T00:08:30Z,25.73,24.9,0.43,0.34
2026-06-01T00:09:00Z,22.27,50.3,0.48,0.76
2026-06-01T00:09:30Z,18.3,23.3,0.75,0.87
2026-06-01T00:10:00Z,29.13,73.3,0.65,0.39
2026-06-01T00:10:30Z,24.84,54.0,0.73,0.8
2026-06-01T00:11:00Z,26.08,44.0,0.69,0.13
2026-06-01T00:11:30Z,26.44,44.5,0.28,0.7
2026-06-01T00:12:00Z,21.18,33.2,0.32,1.0
2026-06-01T00:12:30Z,18.11,20.0,0.11,0.67
2026-06-01T00:13:00Z,22.2,36.8,0.35,0.49
2026-06-01T00:13:30Z,24.6,33.8,0.77,0.4
2026-06-01T00:14:00Z,24.01,20.0,0.69,0.38
2026-06-01T00:14:30Z,26.71,20.0,0.71,0.34
2026-06-01T00:15:00Z,27.25,44.8,0.4,0.22
2026-06-01T00:15:30Z,18.04,31.8,0.38,0.52
2026-06-01T00:16:00Z,21.39,20.0,0.71,0.79
2026-06-01T00:16:30Z,18.59,20.8,0.74,0.32
2026-06-01T00:17:00Z,24.62,20.0,0.58,0.65
2026-06-01T00:17:30Z,23.58,71.6,0.05,0.51
2026-06-01T00:18:00Z,26.47,49.7,0.1,0.65
2026-06-01T00:18:30Z,19.62,27.9,0.76,0.72
2026-06-01T00:19:00Z,24.26,20.0,0.58,0.27
2026-06-01T00:19:30Z,25.09,58.7,0.21,0.42
2026-06-01T00:20:00Z,20.67,42.0,0.47,0.86
2026-06-01T00:20:30Z,21.15,38.8,0.37,0.4
2026-06-01T00:21:00Z,15.64,48.8,0.28,0.61
2026-06-01T00:21:30Z,17.22,23.0,0.67,0.69
2026-06-01T00:22:00Z,27.67,23.8,0.25,0.43
2026-06-01T00:22:30Z,24.07,20.0,0.53,0.27
2026-06-01T00:23:00Z,16.75,49.7,0.21,0.2
2026-06-01T00:23:30Z,20.49,69.3,0.67,0.16
2026-06-01T00:24:00Z,18.63,48.1,0.65,0.82
2026-06-01T00:24:30Z,19.22,39.6,0.26,0.06
2026-06-01T00:25:00Z,16.29,52.3,0.41,0.21
2026-06-01T00:25:30Z,20.45,43.6,0.76,0.3
