timestamp,http_requests_per_sec,http_p99_latency_ms,http_5xx_rate,upstream_timeout_rate
2026-06-01T00:00:00Z,21.93,54.7,0.27,0.35
2026-06-01T00:00:30Z,17.74,59.4,0.14,0.0
2026-06-01T00:01:00Z,12.46,40.0,0.01,0.38
2026-06-01T00:01:30Z,14.64,40.0,0.2,0.05
2026-06-01T00:02:00Z,13.29,70.7,0.3,0.14
2026-06-01T00:02:30Z,17.39,41.8,0.0,0.26
2026-06-01T00:03:00Z,10.49,40.0,0.38,0.35
2026-06-01T00:03:30Z,13.01,42.0,0.2,0.38
2026-06-01T00:04:00Z,14.79,40.0,0.05,0.36
2026-06-01T00:04:30Z,17.06,104.2,0.26,0.31
2026-06-01T00:05:00Z,12.59,50.0,0.28,0.43
2026-06-01T00:05:30Z,11.71,89.6,0.05,0.48
2026-06-01T00:06:00Z,11.34,90.9,0.38,0.1
2026-06-01T00:06:30Z,18.09,59.0,0.08,0.11
2026-06-01T00:07:00Z,19.04,77.8,0.15,0.47
2026-06-01T00:07:30Z,14.34,41.6,0.29,0.28
2026-06-01T00:08:00Z,14.01,77.2,0.1,0.28
2026-06-01T00:08:30Z,15.75,57.3,0.16,0.45
2026-06-01T00:09:00Z,16.47,80.5,0.29,0.28
2026-06-01T00:09:30Z,13.35,76.9,0.33,0.2
2026-06-01T00:10:00Z,12.35,83.5,0.31,0.06
2026-06-01T00:10:30Z,17.19,68.6,0.06,0.27
2026-06-01T00:11:00Z,14.54,65.8,0.13,0.14
2026-06-01T00:11:30Z,18.34,57.9,0.21,0.3
2026-06-01T00:12:00Z,15.43,88.0,0.3,0.36
2026-06-01T00:12:30Z,13.78,62.3,0.05,0.42
2026-06-01T00:13:00Z,15.99,41.9,0.2,0.41
2026-06-01T00:13:30Z,19.79,55.5,0.02,0.1
2026-06-01T00:14:00Z,22.02,40.0,0.03,0.48
2026-06-01T00:14:30Z,14.4,68.5,0.15,0.14
2026-06-01T00:15:00Z,16.25,70.1,0.15,0.03
2026-06-01T00:15:30Z,15.39,55.5,0.35,0.08
2026-06-01T00:16:00Z,15.14,72.4,0.07,0.29
2026-06-01T00:16:30Z,14.09,70.0,0.29,0.03
2026-06-01T00:17:00Z,13.01,46.2,0.12,0.25
2026-06-01T00:17:30Z,15.89,62.6,0.17,0.13
2026-06-01T00:18:00Z,17.31,90.1,0.39,0.23
2026-06-01T00:18:30Z,18.88,40.0,0.39,0.39
2026-06-01T00:19:00Z,14.39,44.2,0.03,0.1
2026-06-01T00:19:30Z,13.25,97.1,0.28,0.1
2026-06-01T00:20:00Z,18.26,40.0,0.02,0.14
2026-06-01T00:20:30Z,15.24,58.4,0.21,0.4
2026-06-01T00:21:00Z,17.12,57.6,0.06,0.27
2026-06-01T00:21:30Z,14.24,62.6,0.28,0.45
2026-06-01T00:22:00Z,16.23,58.7,0.2,0.05
2026-06-01T00:22:30Z,13.96,81.5,0.24,0.04
2026-06-01T00:23:00Z,13.19,85.9,0.28,0.35
2026-06-01T00:23:30Z,12.48,56.2,0.1,0.42
2026-06-01T00:24:00Z,18.98,40.0,0.19,0.35
2026-06-01T00:24:30Z,16.94,40.0,0.05,0.2
2026-06-01T00:25:00Z,11.47,40.0,0.08,0.07
2026-06-01T00:25:30Z,14.1,46.4,0.32,0.14
2026-06-01T00:26:00Z,14.23,47.7,0.05,0.13
2026-06-01T00:26:30Z,13.61,65.4,0.32,0.33
2026-06-01T00:27:00Z,11.62,75.2,0.13,0.18
2026-06-01T00:27:30Z,15.07,61.5,0.23,0.21
2026-06-01T00:28:00Z,14.42,59.6,0.05,0.49
2026-06-01T00:28:30Z,14.57,40.0,0.23,0.34
2026-06-01T00:29:00Z,13.65,40.0,0.27,0.31
2026-06-01T00:29:30Z,15.3,77.1,0.21,0.24
2026-06-01T00:30:00Z,15.24,40.0,0.07,0.38
2026-06-01T00:30:30Z,16.72,62.7,0.29,0.43
2026-06-01T00:31:00Z,14.15,75.4,0.3,0.17
2026-06-01T00:31:30Z,14.32,53.0,0.15,0.01
2026-06-01T00:32:00Z,15.05,52.8,0.33,0.42
2026-06-01T00:32:30Z,17.07,60.2,0.37,0.3
2026-06-01T00:33:00Z,14.24,57.4,0.39,0.48
2026-06-01T00:33:30Z,13.0,83.1,0.0,0.46
2026-06-01T00:34:00Z,10.17,66.5,0.37,0.43
2026-06-01T00:34:30Z,11.77,61.6,0.14,0.46
2026-06-01T00:35:00Z,13.8,62.4,0.21,0.01
2026-06-01T00:35:30Z,15.21,84.0,0.12,0.37
2026-06-01T00:36:00Z,13.65,61.1,0.19,0.22
2026-06-01T00:36:30Z,15.98,56.8,0.04,0.0
2026-06-01T00:37:00Z,17.46,40.0,0.02,0.36
2026-06-01T00:37:30Z,11.02,77.8,0.28,0.12
2026-06-01T00:38:00Z,13.4,91.8,0.04,0.38
2026-06-01T00:38:30Z,16.79,50.7,0.35,0.43
2026-06-01T00:39:00Z,13.71,40.0,0.28,0.06
2026-06-01T00:39:30Z,17.86,50.1,0.24,0.14
2026-06-01T00:40:00Z,8.28,87.4,0.13,0.27
2026-06-01T00:40:30Z,14.34,43.3,0.0,0.14
2026-06-01T00:41:00Z,15.5,85.8,0.11,0.5
2026-06-01T00:41:30Z,15.58,44.9,0.19,0.32
2026-06-01T00:42:00Z,11.77,62.2,0.28,0.46
2026-06-01T00:42:30Z,10.42,45.7,0.32,0.01
2026-06-01T00:43:00Z,16.51,40.0,0.16,0.06
2026-06-01T00:43:30Z,15.72,57.9,0.28,0.48
2026-06-01T00:44:00Z,15.66,60.4,0.01,0.45
2026-06-01T00:44:30Z,14.12,57.3,0.08,0.4
2026-06-01T00:45:00Z,10.44,87.1,0.29,0.38
2026-06-01T00:45:30Z,12.64,40.0,0.17,0.43
2026-06-01T00:46:00Z,14.19,57.5,0.3,0.47
2026-06-01T00:46:30Z,16.75,81.2,0.03,0.47
2026-06-01T00:47:00Z,12.55,59.3,0.05,0.49
2026-06-01T00:47:30Z,18.19,96.4,0.19,0.08
2026-06-01T00:48:00Z,17.32,40.0,0.26,0.4
2026-06-01T00:48:30Z,15.19,49.8,0.34,0.1
2026-06-01T00:49:00Z,13.32,87.6,0.08,0.34
2026-06-01T00:49:30Z,14.33,82.3,0.18,0.03
2026-06-01T00:50:00Z,16.87,43.3,0.3,0.12
2026-06-01T00:50:30Z,12.9,40.0,0.12,0.39
2026-06-01T00:51:00Z,14.59,74.6,0.05,0.04
2026-06-01T00:51:30Z,13.04,40.0,0.39,0.15
2026-06-01T00:52:00Z,15.53,57.4,0.18,0.06
2026-06-01T00:52:30Z,12.47,84.5,0.23,0.03
2026-06-01T00:53:00Z,16.2,72.0,0.25,0.24
2026-06-01T00:53:30Z,14.19,60.8,0.23,0.18
2026-06-01T00:54:00Z,14.99,51.5,0.37,0.39
2026-06-01T00:54:30Z,16.04,74.3,0.1,0.18
2026-06-01T00:55:00Z,15.26,72.0,0.37,0.3
2026-06-01T00:55:30Z,12.91,69.2,0.21,0.12
2026-06-01T00:56:00Z,16.02,93.4,0.33,0.37
2026-06-01T00:56:30Z,13.98,44.8,0.17,0.29
2026-06-01T00:57:00Z,12.61,48.3,0.17,0.2
2026-06-01T00:57:30Z,13.16,75.8,0.03,0.36
2026-06-01T00:58:00Z,13.86,52.3,0.38,0.18
2026-06-01T00:58:30Z,13.54,82.1,0.03,0.17
2026-06-01T00:59:00Z,12.51,67.6,0.36,0.47
2026-06-01T00:59:30Z,14.7,54.6,0.35,0.0
2026-06-01T01:00:00Z,15.45,40.0,0.12,0.47
2026-06-01T01:00:30Z,14.63,73.5,0.03,0.33
2026-06-01T01:01:00Z,14.4,40.0,0.01,0.19
2026-06-01T01:01:30Z,15.35,77.7,0.25,0.23
2026-06-01T01:02:00Z,14.88,59.4,0.18,0.1
2026-06-01T01:02:30Z,14.36,75.8,0.15,0.49
2026-06-01T01:03:00Z,12.51,72.4,0.01,0.07
2026-06-01T01:03:30Z,13.15,42.3,0.03,0.04
2026-06-01T01:04:00Z,16.65,94.9,0.01,0.5
2026-06-01T01:04:30Z,11.78,63.6,0.07,0.38
2026-06-01T01:05:00Z,13.15,59.5,0.37,0.47
2026-06-01T01:05:30Z,13.08,75.3,0.1,0.4
2026-06-01T01:06:00Z,15.86,40.0,0.04,0.2
2026-06-01T01:06:30Z,16.39,68.5,0.34,0.49
2026-06-01T01:07:00Z,16.05,45.3,0.4,0.08
2026-06-01T01:07:30Z,16.89,46.4,0.13,0.07
2026-06-01T01:08:00Z,16.99,76.1,0.4,0.18
2026-06-01T01:08:30Z,16.08,43.4,0.29,0.42
2026-06-01T01:09:00Z,15.57,77.4,0.08,0.11
2026-06-01T01:09:30Z,11.85,75.5,0.03,0.15
2026-06-01T01:10:00Z,14.73,66.7,0.31,0.22
2026-06-01T01:10:30Z,12.58,40.0,0.18,0.03
2026-06-01T01:11:00Z,15.73,45.7,0.34,0.21
2026-06-01T01:11:30Z,15.7,64.4,0.32,0.14
2026-06-01T01:12:00Z,12.48,60.2,0.02,0.21
2026-06-01T01:12:30Z,14.55,50.0,0.32,0.31
2026-06-01T01:13:00Z,11.2,40.0,0.24,0.18
2026-06-01T01:13:30Z,12.88,64.2,0.1,0.5
2026-06-01T01:14:00Z,15.14,40.0,0.13,0.33
2026-06-01T01:14:30Z,12.21,78.7,0.2,0.21
2026-06-01T01:15:00Z,13.76,82.3,0.24,0.09
2026-06-01T01:15:30Z,11.49,76.5,0.04,0.18
2026-06-01T01:16:00Z,13.93,67.8,0.21,0.35
2026-06-01T01:16:30Z,15.37,50.3,0.3,0.41
2026-06-01T01:17:00Z,11.97,58.3,0.13,0.49
2026-06-01T01:17:30Z,13.6,51.4,0.39,0.2
2026-06-01T01:18:00Z,16.85,47.0,0.3,0.29
2026-06-01T01:18:30Z,13.4,74.0,0.27,0.34
2026-06-01T01:19:00Z,12.5,65.2,0.0,0.12
2026-06-01T01:19:30Z,14.41,65.9,0.03,0.17
2026-06-01T01:20:00Z,14.31,68.5,0.31,0.06
2026-06-01T01:20:30Z,14.0,79.9,0.25,0.17
2026-06-01T01:21:00Z,13.38,69.7,0.12,0.41
2026-06-01T01:21:30Z,16.89,40.0,0.01,0.23
2026-06-01T01:22:00Z,13.63,103.0,0.21,0.41
2026-06-01T01:22:30Z,13.92,46.1,0.13,0.09
2026-06-01T01:23:00Z,17.56,43.8,0.08,0.4
2026-06-01T01:23:30Z,14.25,40.0,0.2,0.19
2026-06-01T01:24:00Z,13.27,65.9,0.2,0.09
2026-06-01T01:24:30Z,16.3,60.0,0.08,0.22
2026-06-01T01:25:00Z,15.6,50.9,0.3,0.06
2026-06-01T01:25:30Z,15.71,55.7,0.09,0.46
2026-06-01T01:26:00Z,13.56,104.7,0.2,0.02
2026-06-01T01:26:30Z,15.18,106.3,0.14,0.46
2026-06-01T01:27:00Z,15.6,41.0,0.07,0.04
2026-06-01T01:27:30Z,15.06,69.1,0.03,0.35
2026-06-01T01:28:00Z,14.85,69.9,0.03,0.14
2026-06-01T01:28:30Z,14.72,63.4,0.05,0.5
2026-06-01T01:29:00Z,13.5,54.2,0.1,0.19
2026-06-01T01:29:30Z,12.54,68.7,0.17,0.47
2026-06-01T01:30:00Z,15.51,61.5,0.3,0.08
2026-06-01T01:30:30Z,15.28,40.0,0.36,0.12
2026-06-01T01:31:00Z,13.53,46.2,0.25,0.04
2026-06-01T01:31:30Z,10.83,61.8,0.26,0.48
2026-06-01T01:32:00Z,15.01,77.3,0.17,0.04
2026-06-01T01:32:30Z,9.73,54.5,0.04,0.35
2026-06-01T01:33:00Z,13.38,70.0,0.24,0.44
2026-06-01T01:33:30Z,8.38,40.0,0.06,0.03
2026-06-01T01:34:00Z,14.48,81.0,0.14,0.47
2026-06-01T01:34:30Z,12.7,57.0,0.09,0.14
2026-06-01T01:35:00Z,12.87,40.0,0.09,0.2
2026-06-01T01:35:30Z,14.45,110.3,0.14,0.29
2026-06-01T01:36:00Z,12.54,40.6,0.17,0.21
2026-06-01T01:36:30Z,13.36,58.6,0.02,0.18
2026-06-01T01:37:00Z,11.85,57.3,0.36,0.46
2026-06-01T01:37:30Z,16.11,61.0,0.3,0.01
2026-06-01T01:38:00Z,12.43,65.8,0.32,0.08
2026-06-01T01:38:30Z,15.63,99.9,0.24,0.27
2026-06-01T01:39:00Z,14.47,83.3,0.36,0.35
2026-06-01T01:39:30Z,11.82,71.5,0.12,0.05
2026-06-01T01:40:00Z,15.19,71.8,0.02,0.03
2026-06-01T01:40:30Z,11.52,53.8,0.32,0.18
2026-06-01T01:41:00Z,13.88,40.0,0.2,0.41
2026-06-01T01:41:30Z,14.24,63.4,0.04,0.36
2026-06-01T01:42:00Z,14.92,54.0,0.15,0.48
2026-06-01T01:42:30Z,16.1,84.8,0.28,0.31
2026-06-01T01:43:00Z,13.53,52.7,0.24,0.49
2026-06-01T01:43:30Z,11.52,53.5,0.36,0.11
2026-06-01T01:44:00Z,10.72,56.7,0.23,0.33
2026-06-01T01:44:30Z,12.78,79.5,0.19,0.19
2026-06-01T01:45:00Z,8.59,54.0,0.17,0.1
2026-06-01T01:45:30Z,14.3,77.0,0.08,0.12
2026-06-01T01:46:00Z,14.38,56.0,0.32,0.18
2026-06-01T01:46:30Z,10.12,44.2,0.19,0.12
2026-06-01T01:47:00Z,8.37,60.1,0.24,0.09
2026-06-01T01:47:30Z,10.41,67.9,0.14,0.35
2026-06-01T01:48:00Z,15.02,40.0,0.26,0.09
2026-06-01T01:48:30Z,13.55,55.2,0.33,0.22
2026-06-01T01:49:00Z,14.0,40.4,0.01,0.39
2026-06-01T01:49:30Z,10.36,40.0,0.28,0.39
2026-06-01T01:50:00Z,12.57,72.8,0.29,0.08
2026-06-01T01:50:30Z,15.48,76.1,0.3,0.08
2026-06-01T01:51:00Z,12.26,66.6,0.3,0.04
2026-06-01T01:51:30Z,13.09,40.0,0.15,0.2
2026-06-01T01:52:00Z,11.19,50.0,0.05,0.04
2026-06-01T01:52:30Z,11.16,40.0,0.08,0.33
2026-06-01T01:53:00Z,12.67,79.0,0.34,0.18
2026-06-01T01:53:30Z,11.1,68.8,0.02,0.03
2026-06-01T01:54:00Z,12.88,43.8,0.22,0.24
2026-06-01T01:54:30Z,11.85,47.3,0.3,0.08
2026-06-01T01:55:00Z,12.86,58.6,0.03,0.48
2026-06-01T01:55:30Z,14.45,62.0,0.34,0.38
2026-06-01T01:56:00Z,10.31,71.5,0.07,0.25
2026-06-01T01:56:30Z,13.81,82.7,0.33,0.25
2026-06-01T01:57:00Z,15.15,40.0,0.28,0.4
2026-06-01T01:57:30Z,15.88,45.1,0.09,0.19
2026-06-01T01:58:00Z,11.98,40.0,0.24,0.07
2026-06-01T01:58:30Z,12.39,76.2,0.14,0.35
2026-06-01T01:59:00Z,12.93,64.4,0.39,0.42
2026-06-01T01:59:30Z,10.52,50.4,0.2,0.26
2026-06-01T02:00:00Z,12.82,78.2,0.26,0.42
2026-06-01T02:00:30Z,14.68,40.0,0.23,0.13
2026-06-01T02:01:00Z,11.85,57.8,0.15,0.43
2026-06-01T02:01:30Z,13.42,62.6,0.24,0.29
2026-06-01T02:02:00Z,15.09,64.6,0.18,0.28
2026-06-01T02:02:30Z,10.93,43.6,0.28,0.19
2026-06-01T02:03:00Z,14.65,40.0,0.39,0.43
2026-06-01T02:03:30Z,11.48,40.0,0.22,0.26
2026-06-01T02:04:00Z,15.65,50.2,0.12,0.46
2026-06-01T02:04:30Z,15.3,84.4,0.34,0.26
2026-06-01T02:05:00Z,10.45,58.5,0.32,0.4
2026-06-01T02:05:30Z,14.16,40.0,0.22,0.22
2026-06-01T02:06:00Z,13.3,98.9,0.05,0.37
2026-06-01T02:06:30Z,13.15,91.5,0.28,0.15
2026-06-01T02:07:00Z,11.82,77.5,0.15,0.39
2026-06-01T02:07:30Z,10.29,40.0,0.28,0.31
2026-06-01T02:08:00Z,15.6,52.4,0.04,0.43
2026-06-01T02:08:30Z,9.32,101.4,0.37,0.09
2026-06-01T02:09:00Z,14.59,66.1,0.13,0.21
2026-06-01T02:09:30Z,12.28,77.9,0.14,0.47
2026-06-01T02:10:00Z,11.1,40.0,0.3,0.39
2026-06-01T02:10:30Z,6.91,40.0,0.11,0.46
2026-06-01T02:11:00Z,14.85,40.0,0.08,0.44
2026-06-01T02:11:30Z,12.14,44.4,0.31,0.41
2026-06-01T02:12:00Z,9.84,107.8,0.38,0.42
2026-06-01T02:12:30Z,9.65,88.1,0.1,0.12
2026-06-01T02:13:00Z,11.0,84.2,0.13,0.15
2026-06-01T02:13:30Z,17.89,54.8,0.37,0.11
2026-06-01T02:14:00Z,12.5,77.2,0.22,0.42
2026-06-01T02:14:30Z,12.06,42.5,0.09,0.08
2026-06-01T02:15:00Z,9.41,51.3,0.19,0.27
2026-06-01T02:15:30Z,12.95,58.7,0.14,0.01
2026-06-01T02:16:00Z,12.71,66.8,0.14,0.05
2026-06-01T02:16:30Z,13.04,40.0,0.36,0.09
2026-06-01T02:17:00Z,13.0,70.1,0.33,0.36
2026-06-01T02:17:30Z,15.29,75.5,0.04,0.5
2026-06-01T02:18:00Z,14.57,70.0,0.3,0.47
2026-06-01T02:18:30Z,9.87,69.1,0.23,0.44
2026-06-01T02:19:00Z,11.15,45.7,0.02,0.45
2026-06-01T02:19:30Z,12.39,40.0,0.03,0.42
2026-06-01T02:20:00Z,12.21,59.8,0.06,0.09
2026-06-01T02:20:30Z,12.13,74.7,0.03,0.37
2026-06-01T02:21:00Z,17.14,97.2,0.12,0.47
2026-06-01T02:21:30Z,10.39,40.0,0.16,0.31
2026-06-01T02:22:00Z,7.3,42.7,0.37,0.28
2026-06-01T02:22:30Z,13.28,64.3,0.16,0.43
2026-06-01T02:23:00Z,13.53,86.3,0.04,0.14
2026-06-01T02:23:30Z,9.33,78.3,0.06,0.22
2026-06-01T02:24:00Z,14.19,41.7,0.27,0.34
2026-06-01T02:24:30Z,10.71,68.9,0.15,0.12
2026-06-01T02:25:00Z,11.89,46.4,0.31,0.42
2026-06-01T02:25:30Z,9.81,67.2,0.37,0.14
2026-06-01T02:26:00Z,11.18,59.9,0.13,0.13
2026-06-01T02:26:30Z,9.91,60.7,0.08,0.06
2026-06-01T02:27:00Z,10.38,55.8,0.04,0.01
2026-06-01T02:27:30Z,8.92,46.2,0.34,0.19
2026-06-01T02:28:00Z,11.07,40.0,0.38,0.34
2026-06-01T02:28:30Z,10.55,46.1,0.11,0.04
2026-06-01T02:29:00Z,13.61,58.6,0.14,0.46
2026-06-01T02:29:30Z,10.29,48.1,0.17,0.45
2026-06-01T02:30:00Z,12.65,40.0,0.3,0.24
2026-06-01T02:30:30Z,10.75,93.5,0.28,0.2
2026-06-01T02:31:00Z,8.75,45.8,0.11,0.38
2026-06-01T02:31:30Z,11.71,74.9,0.32,0.42
2026-06-01T02:32:00Z,10.87,61.0,0.39,0.07
2026-06-01T02:32:30Z,12.45,86.3,0.28,0.45
2026-06-01T02:33:00Z,9.49,58.9,0.23,0.37
2026-06-01T02:33:30Z,13.39,47.5,0.07,0.21
2026-06-01T02:34:00Z,12.45,50.9,0.13,0.31
2026-06-01T02:34:30Z,13.36,40.0,0.05,0.33
2026-06-01T02:35:00Z,11.31,46.4,0.19,0.31
2026-06-01T02:35:30Z,9.87,80.9,0.31,0.31
2026-06-01T02:36:00Z,8.6,72.7,0.03,0.49
2026-06-01T02:36:30Z,14.45,59.3,0.22,0.27
2026-06-01T02:37:00Z,13.42,40.0,0.04,0.31
2026-06-01T02:37:30Z,11.21,40.0,0.16,0.44
2026-06-01T02:38:00Z,11.43,45.9,0.05,0.02
2026-06-01T02:38:30Z,10.93,40.0,0.01,0.08
2026-06-01T02:39:00Z,11.74,77.3,0.39,0.14
2026-06-01T02:39:30Z,12.59,66.0,0.02,0.15
2026-06-01T02:40:00Z,12.9,40.0,0.24,0.19
2026-06-01T02:40:30Z,11.27,52.9,0.34,0.3
2026-06-01T02:41:00Z,10.61,52.7,0.31,0.43
2026-06-01T02:41:30Z,12.78,58.8,0.16,0.3
2026-06-01T02:42:00Z,14.0,70.8,0.1,0.09
