timestamp,http_requests_per_sec,http_p99_latency_ms,cpu_usage_percent,http_5xx_rate
2026-06-01T00:00:00Z,29.62,20.0,19.9,0.22
2026-06-01T00:00:30Z,29.63,40.1,11.58,0.34
2026-06-01T00:01:00Z,23.29,41.4,32.17,0.0
2026-06-01T00:01:30Z,24.23,60.7,35.66,0.0
2026-06-01T00:02:00Z,28.08,29.4,23.49,0.17
2026-06-01T00:02:30Z,28.4,53.3,16.75,1.23
2026-06-01T00:03:00Z,33.9,36.0,10.71,0.0
2026-06-01T00:03:30Z,31.81,38.4,22.26,1.26
2026-06-01T00:04:00Z,32.07,20.0,4.26,0.53
2026-06-01T00:04:30Z,38.8,40.1,15.25,0.0
2026-06-01T00:05:00Z,26.37,42.1,17.28,0.0
2026-06-01T00:05:30Z,27.22,24.1,23.21,0.78
2026-06-01T00:06:00Z,36.31,23.0,9.32,0.0
2026-06-01T00:06:30Z,31.51,48.6,4.59,0.54
2026-06-01T00:07:00Z,27.13,20.0,19.62,0.0
2026-06-01T00:07:30Z,32.76,65.4,22.82,0.11
2026-06-01T00:08:00Z,34.17,20.0,14.76,0.42
2026-06-01T00:08:30Z,25.8,45.7,20.46,0.0
2026-06-01T00:09:00Z,40.89,58.3,18.94,0.0
2026-06-01T00:09:30Z,26.85,23.0,18.06,0.0
2026-06-01T00:10:00Z,37.3,59.9,15.72,0.83
2026-06-01T00:10:30Z,36.06,44.3,21.32,0.18
2026-06-01T00:11:00Z,27.6,46.8,19.71,0.02
2026-06-01T00:11:30Z,34.27,43.4,17.21,0.4
2026-06-01T00:12:00Z,31.86,32.0,17.6,0.0
2026-06-01T00:12:30Z,38.09,29.6,20.82,0.0
2026-06-01T00:13:00Z,33.49,20.0,17.44,0.0
2026-06-01T00:13:30Z,27.59,28.3,13.97,0.0
2026-06-01T00:14:00Z,32.3,20.0,10.52,0.0
2026-06-01T00:14:30Z,34.9,59.1,31.84,1.5
2026-06-01T00:15:00Z,26.71,38.2,17.76,0.0
2026-06-01T00:15:30Z,24.28,20.0,14.69,0.0
2026-06-01T00:16:00Z,38.09,26.4,15.13,0.0
2026-06-01T00:16:30Z,29.13,62.6,34.87,0.4
2026-06-01T00:17:00Z,30.71,33.5,15.18,1.5
2026-06-01T00:17:30Z,31.1,23.6,22.99,1.09
2026-06-01T00:18:00Z,26.61,20.0,20.35,0.0
2026-06-01T00:18:30Z,29.04,23.9,7.04,0.8
2026-06-01T00:19:00Z,28.85,20.0,11.52,0.8
2026-06-01T00:19:30Z,34.1,33.9,6.49,0.0
2026-06-01T00:20:00Z,27.61,20.0,16.99,0.0
2026-06-01T00:20:30Z,37.63,33.0,13.3,0.89
2026-06-01T00:21:00Z,34.02,48.0,18.94,0.0
2026-06-01T00:21:30Z,31.17,31.5,17.24,0.23
2026-06-01T00:22:00Z,34.61,27.6,14.99,1.11
2026-06-01T00:22:30Z,30.62,50.3,3.28,0.0
2026-06-01T00:23:00Z,28.75,26.1,18.1,0.95
2026-06-01T00:23:30Z,28.37,27.2,19.89,0.0
2026-06-01T00:24:00Z,33.33,20.0,14.41,0.0
2026-06-01T00:24:30Z,28.21,47.3,8.78,0.5
2026-06-01T00:25:00Z,23.39,20.0,18.24,1.41
2026-06-01T00:25:30Z,27.63,23.8,22.59,0.0
2026-06-01T00:26:00Z,32.58,38.8,20.57,0.91
2026-06-01T00:26:30Z,28.63,40.8,16.95,0.86
2026-06-01T00:27:00Z,28.48,30.8,27.36,1.49
2026-06-01T00:27:30Z,36.86,20.0,24.24,0.0
2026-06-01T00:28:00Z,26.84,50.7,22.08,0.0
2026-06-01T00:28:30Z,34.83,20.0,11.46,1.5
2026-06-01T00:29:00Z,28.32,22.3,22.67,0.97
2026-06-01T00:29:30Z,21.38,38.8,22.15,1.5
2026-06-01T00:30:00Z,33.54,61.0,19.64,0.0
2026-06-01T00:30:30Z,36.26,20.0,40.23,0.08
2026-06-01T00:31:00Z,35.8,34.7,22.39,0.69
2026-06-01T00:31:30Z,34.32,32.0,27.24,0.0
2026-06-01T00:32:00Z,37.83,20.0,24.91,0.1
2026-06-01T00:32:30Z,19.12,26.6,15.04,0.0
2026-06-01T00:33:00Z,31.37,46.4,25.83,0.0
2026-06-01T00:33:30Z,23.48,20.0,17.42,0.0
2026-06-01T00:34:00Z,26.67,20.0,8.78,1.1
2026-06-01T00:34:30Z,18.99,79.5,17.42,0.0
2026-06-01T00:35:00Z,19.03,53.0,12.18,0.0
2026-06-01T00:35:30Z,33.81,29.9,24.01,0.0
2026-06-01T00:36:00Z,26.75,20.0,3.39,0.05
2026-06-01T00:36:30Z,25.16,20.0,22.8,0.16
2026-06-01T00:37:00Z,27.39,23.5,29.33,0.26
2026-06-01T00:37:30Z,35.94,52.6,22.47,1.3
2026-06-01T00:38:00Z,26.87,22.7,34.84,0.0
2026-06-01T00:38:30Z,28.5,39.4,30.38,1.35
2026-06-01T00:39:00Z,29.87,26.5,23.31,0.0
2026-06-01T00:39:30Z,23.72,39.1,10.23,0.95
2026-06-01T00:40:00Z,26.25,60.1,10.13,0.0
2026-06-01T00:40:30Z,20.5,44.5,29.04,0.0
2026-06-01T00:41:00Z,28.04,25.1,23.91,0.21
2026-06-01T00:41:30Z,34.48,31.8,22.33,0.0
2026-06-01T00:42:00Z,30.5,30.5,18.4,0.16
2026-06-01T00:42:30Z,28.48,40.8,26.61,0.0
2026-06-01T00:43:00Z,33.68,20.0,16.93,0.91
2026-06-01T00:43:30Z,24.81,61.4,19.88,0.0
2026-06-01T00:44:00Z,23.27,76.0,4.88,0.69
2026-06-01T00:44:30Z,35.53,33.1,17.47,1.5
2026-06-01T00:45:00Z,33.32,20.0,20.65,0.0
2026-06-01T00:45:30Z,32.63,44.0,20.08,0.62
2026-06-01T00:46:00Z,30.19,45.6,20.9,0.0
2026-06-01T00:46:30Z,31.68,33.4,26.51,0.08
2026-06-01T00:47:00Z,26.85,20.0,26.66,0.66
2026-06-01T00:47:30Z,26.24,23.5,22.37,0.0
2026-06-01T00:48:00Z,29.72,35.0,19.89,0.33
2026-06-01T00:48:30Z,32.09,20.0,9.55,1.49
2026-06-01T00:49:00Z,21.49,27.1,27.16,0.0
