detector,metric,decision_threshold,result,interpretation
EWMA trend,api-gateway/cart_upstream_error_rate,EWMA decision: EWMA(span=20) > median + 3 * sigma; median=0.386; sigma=0.068; threshold=0.590; persistence=3/5,Phát hiện anomaly kéo dài lúc 2026-06-01T20:09:30+00:00; false positive baseline=0,"Gateway nhìn thấy lỗi upstream từ cart. Kết quả phù hợp với triệu chứng downstream, không phải nguồn gốc đầu tiên."
MAD 3-sigma,api-gateway/cart_upstream_error_rate,MAD 3-sigma: value > median + 3 * sigma; median=0.380; sigma=0.297; threshold=1.270; persistence=3/5,Phát hiện anomaly kéo dài lúc 2026-06-01T20:08:00+00:00; false positive baseline=0,"Gateway nhìn thấy lỗi upstream từ cart. Kết quả phù hợp với triệu chứng downstream, không phải nguồn gốc đầu tiên."
EWMA trend,cart-service/container_restart_count,EWMA decision: EWMA(span=20) > median + 3 * sigma; median=0.000; sigma=0.000; threshold=0.000; persistence=3/5,Phát hiện anomaly kéo dài lúc 2026-06-01T20:00:00+00:00; false positive baseline=0,Bằng chứng restart loop sau OOMKilled. Kết quả ủng hộ cart-service là origin candidate trong chuỗi RCA.
MAD 3-sigma,cart-service/container_restart_count,MAD 3-sigma: value > median + 3 * sigma; median=0.000; sigma=0.000; threshold=0.000; persistence=3/5,Phát hiện anomaly kéo dài lúc 2026-06-01T20:00:00+00:00; false positive baseline=0,Bằng chứng restart loop sau OOMKilled. Kết quả ủng hộ cart-service là origin candidate trong chuỗi RCA.
EWMA trend,cart-service/http_5xx_rate,EWMA decision: EWMA(span=20) > median + 3 * sigma; median=0.556; sigma=0.160; threshold=1.037; persistence=3/5,Phát hiện anomaly kéo dài lúc 2026-06-01T13:51:30+00:00; false positive baseline=12,Tác động user-facing trên chính cart-service. Kết quả ủng hộ cart-service là origin candidate trong chuỗi RCA.
MAD 3-sigma,cart-service/http_5xx_rate,MAD 3-sigma: value > median + 3 * sigma; median=0.065; sigma=0.096; threshold=0.354; persistence=3/5,Phát hiện anomaly kéo dài lúc 2026-06-01T06:08:00+00:00; false positive baseline=297,Tác động user-facing trên chính cart-service. Kết quả ủng hộ cart-service là origin candidate trong chuỗi RCA.
EWMA trend,cart-service/http_p99_latency_ms,EWMA decision: EWMA(span=20) > median + 3 * sigma; median=52.651; sigma=3.870; threshold=64.262; persistence=3/5,Phát hiện anomaly kéo dài lúc 2026-06-01T14:13:30+00:00; false positive baseline=7,Tác động latency trước khi lỗi lan rộng. Kết quả ủng hộ cart-service là origin candidate trong chuỗi RCA.
MAD 3-sigma,cart-service/http_p99_latency_ms,MAD 3-sigma: value > median + 3 * sigma; median=50.100; sigma=24.241; threshold=122.822; persistence=3/5,Phát hiện anomaly kéo dài lúc 2026-06-01T14:40:00+00:00; false positive baseline=1,Tác động latency trước khi lỗi lan rộng. Kết quả ủng hộ cart-service là origin candidate trong chuỗi RCA.
EWMA trend,cart-service/jvm_gc_pause_ms_avg,EWMA decision: EWMA(span=20) > median + 3 * sigma; median=44.500; sigma=5.815; threshold=61.946; persistence=3/5,Phát hiện anomaly kéo dài lúc 2026-06-01T08:55:30+00:00; false positive baseline=0,Tín hiệu JVM bị áp lực heap/GC. Kết quả ủng hộ cart-service là origin candidate trong chuỗi RCA.
MAD 3-sigma,cart-service/jvm_gc_pause_ms_avg,MAD 3-sigma: value > median + 3 * sigma; median=45.400; sigma=19.644; threshold=104.333; persistence=3/5,Phát hiện anomaly kéo dài lúc 2026-06-01T17:50:30+00:00; false positive baseline=0,Tín hiệu JVM bị áp lực heap/GC. Kết quả ủng hộ cart-service là origin candidate trong chuỗi RCA.
EWMA trend,cart-service/memory_usage_bytes,EWMA decision: EWMA(span=20) > median + 3 * sigma; median=421947970.354; sigma=61843588.385; threshold=607478735.510; persistence=3/5,Phát hiện anomaly kéo dài lúc 2026-06-01T16:28:00+00:00; false positive baseline=0,Tín hiệu tài nguyên chính của cart-service. Kết quả ủng hộ cart-service là origin candidate trong chuỗi RCA.
MAD 3-sigma,cart-service/memory_usage_bytes,MAD 3-sigma: value > median + 3 * sigma; median=418523156.500; sigma=63488833.462; threshold=608989656.886; persistence=3/5,Phát hiện anomaly kéo dài lúc 2026-06-01T16:26:00+00:00; false positive baseline=0,Tín hiệu tài nguyên chính của cart-service. Kết quả ủng hộ cart-service là origin candidate trong chuỗi RCA.
EWMA trend,order-service/upstream_timeout_rate,EWMA decision: EWMA(span=20) > median + 3 * sigma; median=0.502; sigma=0.066; threshold=0.700; persistence=3/5,Phát hiện anomaly kéo dài lúc 2026-06-01T20:32:30+00:00; false positive baseline=0,"Caller order bị timeout khi gọi cart. Kết quả phù hợp với triệu chứng downstream, không phải nguồn gốc đầu tiên."
MAD 3-sigma,order-service/upstream_timeout_rate,MAD 3-sigma: value > median + 3 * sigma; median=0.490; sigma=0.371; threshold=1.602; persistence=3/5,Phát hiện anomaly kéo dài lúc 2026-06-01T20:32:00+00:00; false positive baseline=0,"Caller order bị timeout khi gọi cart. Kết quả phù hợp với triệu chứng downstream, không phải nguồn gốc đầu tiên."
EWMA trend,payment-service/upstream_timeout_rate,EWMA decision: EWMA(span=20) > median + 3 * sigma; median=0.249; sigma=0.032; threshold=0.346; persistence=3/5,Phát hiện anomaly kéo dài lúc 2026-06-01T09:51:00+00:00; false positive baseline=3,"Caller payment bị ảnh hưởng muộn hơn trong checkout. Kết quả phù hợp với triệu chứng downstream, không phải nguồn gốc đầu tiên."
MAD 3-sigma,payment-service/upstream_timeout_rate,MAD 3-sigma: value > median + 3 * sigma; median=0.250; sigma=0.193; threshold=0.828; persistence=3/5,Phát hiện anomaly kéo dài lúc 2026-06-01T20:45:00+00:00; false positive baseline=0,"Caller payment bị ảnh hưởng muộn hơn trong checkout. Kết quả phù hợp với triệu chứng downstream, không phải nguồn gốc đầu tiên."
