service,metric,rows,start_utc,end_utc,timestamp_gap_count,duplicate_timestamp_count,duplicate_row_count,null_count,min,p50,p95,p99,max,baseline_p50_first_6h,baseline_p95_first_6h,trend_slope_per_row,baseline_window
api-gateway,http_requests_per_sec,2820,2026-06-01T00:00:00+00:00,2026-06-01T23:59:30+00:00,1,0,0,0,27.71,73.275,107.82,117.22349999999999,135.67,54.620000000000005,69.70349999999999,0.012467332979538464,2026-06-01T00:00:00+00:00 to 2026-06-01T06:00:00+00:00
api-gateway,http_p99_latency_ms,2820,2026-06-01T00:00:00+00:00,2026-06-01T23:59:30+00:00,1,0,0,0,10.0,22.4,72.7,97.9,120.4,20.2,44.1,0.010194728927416684,2026-06-01T00:00:00+00:00 to 2026-06-01T06:00:00+00:00
api-gateway,http_5xx_rate,2820,2026-06-01T00:00:00+00:00,2026-06-01T23:59:30+00:00,1,0,0,0,0.0,0.27,7.474499999999975,9.960499999999998,11.55,0.0,1.5,0.0016058813115602238,2026-06-01T00:00:00+00:00 to 2026-06-01T06:00:00+00:00
api-gateway,cart_upstream_error_rate,2820,2026-06-01T00:00:00+00:00,2026-06-01T23:59:30+00:00,1,0,0,0,0.0,0.47,13.13,17.564799999999995,20.12,0.38,0.76,0.002675590413900874,2026-06-01T00:00:00+00:00 to 2026-06-01T06:00:00+00:00
api-gateway,product_upstream_error_rate,2820,2026-06-01T00:00:00+00:00,2026-06-01T23:59:30+00:00,1,0,0,0,0.0,0.16,2.2814999999999914,6.572399999999998,9.7,0.2,6.2604999999999995,-0.0003871470360236776,2026-06-01T00:00:00+00:00 to 2026-06-01T06:00:00+00:00
api-gateway,active_connections,2820,2026-06-01T00:00:00+00:00,2026-06-01T23:59:30+00:00,1,0,0,0,279.0,383.0,469.0,490.0,507.0,336.0,369.0,0.031069853019838032,2026-06-01T00:00:00+00:00 to 2026-06-01T06:00:00+00:00
cart-service,memory_usage_bytes,2820,2026-06-01T00:00:00+00:00,2026-06-01T23:59:30+00:00,1,0,0,0,293601280.0,471329720.0,1351044814.0999992,1581406523.33,1697344070.0,418523156.5,506598216.65,148129.81213203789,2026-06-01T00:00:00+00:00 to 2026-06-01T06:00:00+00:00
cart-service,memory_limit_bytes,2820,2026-06-01T00:00:00+00:00,2026-06-01T23:59:30+00:00,1,0,0,0,2147483648.0,2147483648.0,2147483648.0,2147483648.0,2147483648.0,2147483648.0,2147483648.0,8.362262555966947e-11,2026-06-01T00:00:00+00:00 to 2026-06-01T06:00:00+00:00
cart-service,cpu_usage_percent,2820,2026-06-01T00:00:00+00:00,2026-06-01T23:59:30+00:00,1,0,0,0,2.0,27.799999999999997,55.6005,61.25769999999999,73.61,20.345,33.824499999999986,0.011231644406257886,2026-06-01T00:00:00+00:00 to 2026-06-01T06:00:00+00:00
cart-service,http_requests_per_sec,2820,2026-06-01T00:00:00+00:00,2026-06-01T23:59:30+00:00,1,0,0,0,15.91,45.894999999999996,67.451,74.33099999999999,81.41,34.215,44.28699999999999,0.007792815120344516,2026-06-01T00:00:00+00:00 to 2026-06-01T06:00:00+00:00
