template_id,service,level,template,count,first_seen,last_seen,sample_message,pod_count
T001,cart-service,INFO,Health check passed,3186,2026-06-01T00:00:19.437000+00:00,2026-06-01T23:59:44.589000+00:00,Health check passed,4
T002,cart-service,INFO,Item added to cart for userId=<NUM>,3158,2026-06-01T00:00:18.233000+00:00,2026-06-01T23:58:55.577000+00:00,Item added to cart for userId=25845,4
T003,cart-service,INFO,DB query executed table=cart rows=<NUM>,2822,2026-06-01T00:00:19.656000+00:00,2026-06-01T23:59:33.621000+00:00,DB query executed table=cart rows=43,4
T004,cart-service,WARN,ProductCatalogCache eviction failed: heap pressure too high,2671,2026-06-01T06:33:57.795000+00:00,2026-06-01T23:59:21.113000+00:00,ProductCatalogCache eviction failed: heap pressure too high,4
T005,order-service,INFO,Cart service call succeeded,2391,2026-06-01T00:00:01.817000+00:00,2026-06-01T23:58:40.981000+00:00,Cart service call succeeded,3
T006,order-service,INFO,Order created orderId=ORD-<NUM> userId=<NUM>,2238,2026-06-01T00:00:16.169000+00:00,2026-06-01T23:59:34.522000+00:00,Order created orderId=ORD-75522655 userId=49544,3
T007,cart-service,WARN,GC overhead limit warning: pause=<NUM>ms heap=<NUM>%,2084,2026-06-01T06:30:32.992000+00:00,2026-06-01T23:58:18.137000+00:00,GC overhead limit warning: pause=713ms heap=93%,4
T008,cart-service,INFO,Checkout completed orderId=ORD-<NUM>,2041,2026-06-01T00:02:10.733000+00:00,2026-06-01T23:57:40.362000+00:00,Checkout completed orderId=ORD-43738050,4
T009,cart-service,INFO,ProductCatalogCache loaded <NUM> entries,1871,2026-06-01T00:02:10.942000+00:00,2026-06-01T23:59:10.512000+00:00,ProductCatalogCache loaded 20065 entries,4
T010,order-service,INFO,Health check passed,1845,2026-06-01T00:00:39.809000+00:00,2026-06-01T23:59:32.560000+00:00,Health check passed,3
T011,cart-service,WARN,Connection pool nearing limit pool=db connections=<NUM>/<NUM>,1104,2026-06-01T00:04:45.868000+00:00,2026-06-01T23:57:09.726000+00:00,Connection pool nearing limit pool=db connections=43/50,4
T012,order-service,WARN,Cart service timeout after <NUM>ms,1080,2026-06-01T00:00:14.987000+00:00,2026-06-01T23:59:10.612000+00:00,Cart service timeout after 581ms,3
T013,cart-service,ERROR,OutOfMemoryError imminent: available heap < <NUM>%,936,2026-06-01T19:59:15.939000+00:00,2026-06-01T23:44:45.010000+00:00,OutOfMemoryError imminent: available heap < 5%,4
T014,cart-service,FATAL,Container OOMKilled: memory limit exceeded,823,2026-06-01T19:59:31.047000+00:00,2026-06-01T23:44:47.325000+00:00,Container OOMKilled: memory limit exceeded,4
T015,cart-service,WARN,Cache warm-up slower than expected startup_ms=<NUM>,734,2026-06-01T00:02:16.689000+00:00,2026-06-01T23:56:17.886000+00:00,Cache warm-up slower than expected startup_ms=2867,4
T016,cart-service,ERROR,Upstream connection refused host=product-service,521,2026-06-01T19:59:26.256000+00:00,2026-06-01T23:44:14.186000+00:00,Upstream connection refused host=product-service,4
T017,order-service,ERROR,Cart service returned 5xx status=<NUM>,466,2026-06-01T20:30:03.634000+00:00,2026-06-01T23:44:27.498000+00:00,Cart service returned 5xx status=500,3
T018,cart-service,INFO,Application starting up version=<NUM>.<NUM>.<NUM>,104,2026-06-01T19:59:13.548000+00:00,2026-06-01T23:38:48.797000+00:00,Application starting up version=2.4.1,4
T019,cart-service,WARN,Health check response time elevated endpoint=/health latency=231ms,11,2026-06-01T01:32:19.684000+00:00,2026-06-01T22:57:24.109000+00:00,Health check response time elevated endpoint=/health latency=231ms,4
T020,cart-service,WARN,Health check response time elevated endpoint=/health latency=209ms,11,2026-06-01T07:56:54.896000+00:00,2026-06-01T23:57:03.285000+00:00,Health check response time elevated endpoint=/health latency=209ms,4
T021,cart-service,WARN,Health check response time elevated endpoint=/health latency=139ms,10,2026-06-01T00:52:04.647000+00:00,2026-06-01T19:58:36.838000+00:00,Health check response time elevated endpoint=/health latency=139ms,4
T022,cart-service,WARN,Health check response time elevated endpoint=/health latency=243ms,10,2026-06-01T03:14:57.853000+00:00,2026-06-01T23:20:49.503000+00:00,Health check response time elevated endpoint=/health latency=243ms,3
T023,cart-service,WARN,Health check response time elevated endpoint=/health latency=226ms,10,2026-06-01T01:27:10.039000+00:00,2026-06-01T22:30:33.760000+00:00,Health check response time elevated endpoint=/health latency=226ms,4
T024,cart-service,WARN,Health check response time elevated endpoint=/health latency=212ms,10,2026-06-01T00:58:10.873000+00:00,2026-06-01T21:54:07.756000+00:00,Health check response time elevated endpoint=/health latency=212ms,4
T025,cart-service,WARN,Health check response time elevated endpoint=/health latency=225ms,9,2026-06-01T08:14:01.345000+00:00,2026-06-01T23:14:55.634000+00:00,Health check response time elevated endpoint=/health latency=225ms,4
T026,cart-service,WARN,Health check response time elevated endpoint=/health latency=171ms,9,2026-06-01T02:03:40.438000+00:00,2026-06-01T22:58:45.136000+00:00,Health check response time elevated endpoint=/health latency=171ms,4
T027,cart-service,WARN,Health check response time elevated endpoint=/health latency=244ms,9,2026-06-01T04:21:24.269000+00:00,2026-06-01T22:10:06.068000+00:00,Health check response time elevated endpoint=/health latency=244ms,4
T028,cart-service,WARN,Health check response time elevated endpoint=/health latency=222ms,9,2026-06-01T06:38:49.250000+00:00,2026-06-01T21:21:05.265000+00:00,Health check response time elevated endpoint=/health latency=222ms,4
T029,cart-service,WARN,Health check response time elevated endpoint=/health latency=176ms,8,2026-06-01T00:44:55.092000+00:00,2026-06-01T20:04:37.729000+00:00,Health check response time elevated endpoint=/health latency=176ms,4
T030,cart-service,WARN,Health check response time elevated endpoint=/health latency=188ms,8,2026-06-01T04:20:11.468000+00:00,2026-06-01T22:09:42.068000+00:00,Health check response time elevated endpoint=/health latency=188ms,3
T031,cart-service,WARN,Health check response time elevated endpoint=/health latency=150ms,8,2026-06-01T01:42:55.889000+00:00,2026-06-01T23:42:56.368000+00:00,Health check response time elevated endpoint=/health latency=150ms,4
T032,cart-service,WARN,Health check response time elevated endpoint=/health latency=174ms,8,2026-06-01T02:08:43.688000+00:00,2026-06-01T23:05:35.789000+00:00,Health check response time elevated endpoint=/health latency=174ms,4
T033,cart-service,WARN,Health check response time elevated endpoint=/health latency=204ms,8,2026-06-01T07:33:31.089000+00:00,2026-06-01T21:12:35.583000+00:00,Health check response time elevated endpoint=/health latency=204ms,4
