method,service,affected_metric_service,earliest_detection,false_positive_count_first_6h,supports_rca_chain,detail
ewma_trend,api-gateway,api-gateway/product_upstream_error_rate,,196,False,formula=EWMA(span=20) > median + 3 * 1.4826 * MAD; span=20; median=0.157; sigma=0.036; threshold=0.266; persistence=3/5
ewma_trend,cart-service,cart-service/memory_limit_bytes,,0,False,formula=EWMA(span=20) > median + 3 * 1.4826 * MAD; span=20; median=2147483648.000; sigma=0.000; threshold=2147483648.000; persistence=3/5
ewma_trend,product-service,product-service/http_p99_latency_ms,,188,False,formula=EWMA(span=20) > median + 3 * 1.4826 * MAD; span=20; median=39.990; sigma=7.469; threshold=62.396; persistence=3/5
ewma_trend,product-service,product-service/cpu_usage_percent,,158,False,formula=EWMA(span=20) > median + 3 * 1.4826 * MAD; span=20; median=19.583; sigma=2.567; threshold=27.285; persistence=3/5
ewma_trend,product-service,product-service/http_5xx_rate,,181,False,formula=EWMA(span=20) > median + 3 * 1.4826 * MAD; span=20; median=0.432; sigma=0.197; threshold=1.022; persistence=3/5
ewma_trend,order-service,order-service/http_requests_per_sec,2026-06-01T06:16:30+00:00,0,False,formula=EWMA(span=20) > median + 3 * 1.4826 * MAD; span=20; median=20.512; sigma=2.249; threshold=27.260; persistence=3/5
ewma_trend,product-service,product-service/http_requests_per_sec,2026-06-01T06:46:00+00:00,0,False,formula=EWMA(span=20) > median + 3 * 1.4826 * MAD; span=20; median=27.187; sigma=2.884; threshold=35.838; persistence=3/5
ewma_trend,api-gateway,api-gateway/http_requests_per_sec,2026-06-01T07:00:30+00:00,0,False,formula=EWMA(span=20) > median + 3 * 1.4826 * MAD; span=20; median=54.317; sigma=6.285; threshold=73.172; persistence=3/5
ewma_trend,cart-service,cart-service/http_requests_per_sec,2026-06-01T07:10:30+00:00,0,False,formula=EWMA(span=20) > median + 3 * 1.4826 * MAD; span=20; median=34.065; sigma=3.763; threshold=45.355; persistence=3/5
ewma_trend,payment-service,payment-service/http_requests_per_sec,2026-06-01T07:10:30+00:00,6,False,formula=EWMA(span=20) > median + 3 * 1.4826 * MAD; span=20; median=13.769; sigma=1.701; threshold=18.873; persistence=3/5
ewma_trend,api-gateway,api-gateway/active_connections,2026-06-01T07:17:30+00:00,0,False,formula=EWMA(span=20) > median + 3 * 1.4826 * MAD; span=20; median=336.997; sigma=18.321; threshold=391.960; persistence=3/5
ewma_trend,cart-service,cart-service/cpu_usage_percent,2026-06-01T07:27:30+00:00,2,False,formula=EWMA(span=20) > median + 3 * 1.4826 * MAD; span=20; median=20.520; sigma=1.996; threshold=26.508; persistence=3/5
ewma_trend,cart-service,cart-service/jvm_gc_pause_ms_avg,2026-06-01T08:55:30+00:00,0,True,formula=EWMA(span=20) > median + 3 * 1.4826 * MAD; span=20; median=44.500; sigma=5.815; threshold=61.946; persistence=3/5
ewma_trend,payment-service,payment-service/upstream_timeout_rate,2026-06-01T09:51:00+00:00,3,False,formula=EWMA(span=20) > median + 3 * 1.4826 * MAD; span=20; median=0.249; sigma=0.032; threshold=0.346; persistence=3/5
ewma_trend,payment-service,payment-service/http_5xx_rate,2026-06-01T12:23:30+00:00,1,False,formula=EWMA(span=20) > median + 3 * 1.4826 * MAD; span=20; median=0.196; sigma=0.023; threshold=0.266; persistence=3/5
ewma_trend,cart-service,cart-service/http_5xx_rate,2026-06-01T13:51:30+00:00,12,False,formula=EWMA(span=20) > median + 3 * 1.4826 * MAD; span=20; median=0.556; sigma=0.160; threshold=1.037; persistence=3/5
ewma_trend,cart-service,cart-service/http_p99_latency_ms,2026-06-01T14:13:30+00:00,7,True,formula=EWMA(span=20) > median + 3 * 1.4826 * MAD; span=20; median=52.651; sigma=3.870; threshold=64.262; persistence=3/5
ewma_trend,api-gateway,api-gateway/http_5xx_rate,2026-06-01T15:32:30+00:00,10,False,formula=EWMA(span=20) > median + 3 * 1.4826 * MAD; span=20; median=0.352; sigma=0.105; threshold=0.667; persistence=3/5
